Is_Persistently_Absent,Is_Severely_Absent,Percentage_Unauthorised_Absence,sum_exclusion_days,sum_achievement_points,sum_behaviour_points,distinct_incident_count,Pupil_Premium_Indicator,SEN_Status,Current_NC_Year,Gender,Is_CS_Incident
1,0,0.016,0.0,508,152,16,1,0,10,1,1
0,0,0.0054,0.0,543,0,1,0,0,9,1,0
0,0,0.0,0.0,0,11,0,1,0,8,0,0
1,0,0.0957,0.0,0,6,10,0,1,9,0,1
0,0,0.0585,0.0,0,0,21,0,1,10,0,0
0,0,0.0053,1.0,0,30,6,0,0,11,0,1
0,0,0.0559,0.0,149,19,25,1,0,8,1,0
0,0,0.008,0.0,224,10,0,0,0,8,0,0
0,0,0.016,0.0,434,13,14,0,2,8,1,0
0,0,0.0211,0.0,0,12,4,1,0,8,0,0
0,0,0.0,0.0,613,4,1,0,0,12,0,0
0,0,0.0,1.0,0,6,2,0,0,11,0,0
0,0,0.0,0.0,0,1,12,1,0,8,0,0
0,0,0.0,0.0,0,7,4,0,0,11,0,0
0,0,0.0,0.0,173,15,0,0,0,8,1,0
0,0,0.0,0.0,180,1,1,0,0,10,0,0
0,0,0.0294,0.0,243,44,4,0,0,11,1,1
0,0,0.0213,0.0,207,0,0,1,0,8,0,0
0,0,0.0,0.0,290,0,1,0,0,8,1,0
0,0,0.0027,0.0,381,0,0,0,0,11,1,0
0,0,0.0053,0.0,648,9,0,0,0,9,1,0
1,0,0.0231,0.0,368,13,2,0,0,12,0,0
1,0,0.0,0.0,557,12,5,0,0,12,0,0
0,0,0.0053,0.0,221,86,6,1,0,8,1,0
0,0,0.019,0.0,0,14,2,0,0,10,0,1
1,0,0.0291,0.0,0,10,5,0,0,11,0,1
0,0,0.008,0.0,266,0,3,0,0,8,1,0
0,0,0.0,0.0,213,1,22,0,0,8,0,0
0,0,0.0053,0.0,0,13,15,0,0,11,0,0
0,0,0.0,0.0,0,12,5,1,1,10,0,1
0,0,0.0,0.0,692,0,0,1,0,9,1,0
0,0,0.0179,0.0,186,193,4,0,0,9,1,0
0,0,0.0,0.0,55,1,1,0,0,13,1,0
1,0,0.0829,17.0,154,231,48,1,0,11,1,1
1,1,0.6765,0.0,0,0,144,1,0,10,0,1
0,0,0.0294,0.0,0,0,7,0,0,12,0,0
0,0,0.0535,1.0,769,2,8,1,0,9,1,1
0,0,0.0,0.0,0,11,7,0,0,10,0,0
0,0,0.0,0.0,340,113,21,1,1,10,1,0
0,0,0.0,0.0,431,9,2,0,0,9,1,0
0,0,0.0244,0.0,177,71,0,0,0,10,0,0
1,0,0.0349,0.0,53,92,30,0,0,13,0,1
1,0,0.0904,0.0,0,1,3,0,0,13,0,0
1,0,0.2059,0.0,294,0,2,0,0,8,0,0
0,0,0.0027,0.0,0,2,8,1,0,10,0,1
0,0,0.0053,0.0,876,1,3,0,0,11,1,0
0,0,0.0374,5.0,125,1,12,0,0,11,1,1
0,0,0.0,0.0,447,0,0,0,0,8,0,0
0,0,0.0,0.0,0,5,5,0,0,9,0,0
0,0,0.0053,2.0,384,62,17,0,0,9,1,1
1,0,0.0323,14.0,247,438,15,1,1,10,1,1
0,0,0.0,0.0,503,0,2,1,0,10,1,1
0,0,0.0,0.0,682,12,1,0,0,9,1,0
0,0,0.0188,0.0,119,47,4,0,0,11,0,0
0,0,0.0508,1.5,202,75,46,0,0,11,1,1
0,0,0.0027,0.0,0,19,5,0,0,10,0,1
0,0,0.0,0.0,403,38,2,0,0,9,0,0
0,0,0.0,0.0,0,2,1,1,0,9,0,0
0,0,0.0,0.0,0,1,2,1,0,10,0,0
0,0,0.0,0.0,0,0,2,1,0,8,0,0
1,0,0.2169,20.0,0,54,56,1,0,11,0,1
0,0,0.0,0.0,596,0,5,0,0,10,1,0
0,0,0.0238,0.0,0,2,7,0,0,13,0,0
1,0,0.0,0.0,518,20,2,0,0,12,1,0
0,0,0.0,0.0,690,2,6,0,0,12,0,0
0,0,0.0107,3.0,315,52,27,0,0,11,0,0
0,0,0.0055,0.0,256,104,0,0,0,10,0,0
0,0,0.0,0.0,0,1,3,1,0,12,0,0
0,0,0.0,0.0,201,0,0,0,0,8,1,0
0,0,0.0035,0.0,0,5,0,0,0,8,0,0
1,0,0.0214,0.0,222,12,5,0,0,8,1,0
0,0,0.0054,0.0,249,49,8,0,0,11,0,0
0,0,0.0,0.0,495,1,9,1,1,8,0,0
0,0,0.0,0.0,118,10,0,0,0,10,1,0
0,0,0.008,0.0,305,61,9,1,0,8,0,1
0,0,0.0,0.0,466,0,2,0,0,9,1,0
1,0,0.0615,6.0,183,352,36,0,0,11,0,1
0,0,0.0,0.0,0,28,18,1,0,8,0,0
0,0,0.008,0.0,140,0,8,0,1,11,1,0
0,0,0.016,0.0,569,9,6,1,2,10,1,1
0,0,0.0027,0.0,573,1,2,1,0,9,0,0
0,0,0.0,0.0,157,28,3,0,0,11,1,0
0,0,0.016,9.0,180,44,16,0,0,11,1,0
0,0,0.016,0.0,248,6,1,1,0,8,1,0
0,0,0.0868,4.0,0,40,36,1,1,8,0,1
0,0,0.0526,0.0,0,12,1,1,0,8,0,0
0,0,0.0087,0.0,0,0,0,1,0,11,0,0
1,0,0.0971,0.0,0,0,0,0,0,11,0,0
1,0,0.05,0.0,0,0,0,0,0,7,0,0
0,0,0.013,0.0,0,0,0,0,0,13,0,0
0,0,0.0087,0.0,0,0,0,0,0,11,0,0
1,0,0.0197,0.0,0,0,0,0,0,11,1,0
1,1,0.3548,0.0,0,0,0,0,1,10,0,0
0,0,0.0058,0.0,0,0,0,0,0,11,1,0
0,0,0.025,0.0,0,0,0,0,0,8,0,0
1,0,0.0723,0.0,0,0,0,0,0,11,1,0
1,0,0.0,0.0,0,0,0,0,0,11,0,0
1,0,0.1185,0.0,0,0,0,0,0,11,1,0
0,0,0.0109,0.0,0,0,0,0,0,12,1,0
1,1,0.6532,0.0,0,0,0,1,0,9,1,0
1,1,0.0,0.0,0,0,0,0,1,10,0,0
0,0,0.0,0.0,566,20,5,0,0,10,0,0
1,0,0.2513,0.0,0,0,0,1,0,9,0,0
1,0,0.0,0.0,0,0,0,0,1,11,0,0
1,0,0.2895,0.0,0,0,0,0,0,8,1,0
1,0,0.0419,0.0,0,0,0,0,0,11,0,0
0,0,0.0129,0.0,0,0,0,0,0,13,0,0
1,0,0.0453,0.0,0,0,0,0,0,13,0,0
1,0,0.0769,0.0,0,0,0,0,2,10,1,0
1,0,0.0395,0.0,0,0,0,0,0,9,0,0
1,0,0.0224,0.0,0,0,0,0,0,12,0,0
1,0,0.0058,0.0,0,0,0,1,0,11,0,0
1,1,1.0,0.0,0,0,0,1,0,10,1,0
1,0,0.0087,0.0,0,0,0,1,0,11,1,0
0,0,0.0261,0.0,0,0,0,0,0,13,1,0
0,0,0.0031,0.0,0,0,0,1,0,8,1,0
1,0,0.0374,0.0,0,0,0,0,0,11,1,0
0,0,0.0087,0.0,0,0,0,0,0,11,1,0
0,0,0.0141,0.0,0,0,0,0,0,7,0,0
1,0,0.0116,0.0,0,0,0,0,0,11,1,0
0,0,0.0106,0.0,0,0,0,1,0,8,1,0
1,0,0.0,0.0,0,0,0,1,0,11,1,0
0,0,0.0029,0.0,0,0,0,0,0,11,1,0
1,0,0.0116,0.0,0,0,0,0,0,11,0,0
1,0,0.1387,0.0,0,0,0,1,1,11,0,0
1,1,0.3966,0.0,0,0,0,0,1,7,0,0
1,0,0.0491,0.0,0,0,0,0,0,11,0,0
0,0,0.0029,0.0,0,0,0,0,0,11,0,0
1,0,0.0088,0.0,0,0,0,0,1,11,0,0
1,0,0.0107,0.0,384,20,0,0,0,9,1,0
1,0,0.0318,0.0,0,0,0,1,0,11,1,0
1,0,0.0303,0.0,0,0,0,0,0,11,1,0
1,0,0.0471,0.0,0,0,0,0,0,11,0,0
0,0,0.0125,0.0,0,0,0,0,0,10,0,0
1,0,0.0235,0.0,0,0,0,0,0,11,0,0
1,0,0.1154,0.0,0,0,0,1,0,10,0,0
1,0,0.4545,0.0,0,0,0,1,0,8,0,0
1,0,0.198,0.0,0,0,0,0,0,13,1,0
1,1,0.4278,0.0,0,0,0,0,0,10,1,0
1,0,0.0029,0.0,0,0,0,1,0,11,0,0
0,0,0.0,0.0,0,0,0,0,1,11,1,0
0,0,0.0,0.0,0,0,0,0,0,11,1,0
1,0,0.0757,0.0,0,0,0,0,0,13,1,0
0,0,0.0357,0.0,0,0,0,0,0,13,1,0
0,0,0.0489,0.0,0,0,0,0,0,13,1,0
1,1,0.9732,0.0,0,0,0,1,0,11,0,0
1,0,0.0029,0.0,0,0,0,0,0,11,0,0
0,0,0.0029,0.0,0,0,0,0,1,11,0,0
0,0,0.0,0.0,243,2,3,0,0,8,0,1
0,0,0.75,0.0,0,0,0,0,1,9,0,0
1,0,0.3565,0.0,0,0,0,0,1,11,0,0
0,0,0.0196,0.0,0,0,0,0,0,10,0,0
0,0,0.0063,0.0,0,0,0,0,0,13,1,0
1,0,0.0,0.0,0,0,0,0,0,13,0,0
1,0,0.0588,0.0,0,0,0,0,0,10,0,0
1,0,0.0,0.0,0,0,0,0,0,7,0,0
1,0,0.0993,0.0,0,0,0,0,0,13,0,0
1,1,0.0385,0.0,0,0,0,0,0,11,0,0
0,0,0.0034,0.0,0,0,0,0,0,10,0,0
1,0,0.0231,0.0,0,0,0,0,0,11,0,0
0,0,0.0,0.0,304,152,1,0,0,10,1,0
1,0,0.0059,0.0,0,0,0,0,0,11,0,0
0,0,0.0,0.0,0,0,0,0,1,11,0,0
0,0,0.0347,0.0,0,0,0,0,0,11,0,0
0,0,0.0,0.0,518,2,2,0,0,10,0,0
1,0,0.0118,0.0,0,0,0,0,0,11,0,0
0,0,0.0,0.0,0,0,0,0,0,13,1,0
0,0,0.0106,0.0,0,0,0,0,0,8,0,0
1,1,0.2647,0.0,0,0,0,0,0,8,0,0
1,0,0.2143,0.0,0,0,0,0,0,8,0,0
1,0,0.0145,0.0,0,0,0,1,1,11,1,0
1,0,0.0,0.0,0,0,0,1,0,11,0,0
1,0,0.2174,0.0,0,0,0,1,0,11,1,0
1,0,0.0925,0.0,0,0,0,1,1,11,1,0
0,0,0.0652,0.0,0,0,0,0,0,12,0,0
0,0,0.024,0.0,0,0,0,0,0,12,0,0
1,0,0.2333,0.0,0,0,0,0,0,8,0,0
0,0,0.0594,0.0,0,0,0,0,0,13,1,0
1,0,0.0588,0.0,0,0,0,0,0,11,0,0
1,0,0.0462,0.0,0,0,0,0,1,11,1,0
0,0,0.0058,0.0,0,0,0,0,0,11,0,0
1,0,0.0882,0.0,0,0,0,0,0,12,0,0
1,1,0.8922,0.0,0,0,0,1,0,9,0,0
1,0,0.1,0.0,0,0,0,0,0,9,1,0
1,0,0.02,0.0,0,0,0,1,0,9,1,0
1,0,0.026,0.0,0,0,0,0,0,11,1,0
0,0,0.0,0.0,0,0,0,0,0,7,1,0
1,0,0.1452,0.0,0,0,0,1,0,8,0,0
1,1,0.6222,0.0,0,0,0,1,1,9,0,0
1,0,0.0487,0.0,0,0,0,0,0,13,0,0
1,0,0.0202,0.0,0,0,0,1,0,11,1,0
1,0,0.0912,0.0,0,0,0,1,0,8,0,0
0,0,0.008,0.0,0,0,0,0,0,9,0,0
1,1,1.0,0.0,0,0,0,0,0,8,0,0
0,0,0.0,0.0,0,0,0,1,1,11,0,0
1,0,0.054,0.0,0,0,0,1,0,10,0,0
1,1,0.5882,0.0,0,0,0,0,0,9,0,0
